时间,源 MAC,源 IP,目标 MAC,目标 IP,帧长度
2025-10-22 22:59:32,02:50:1e:43:6c:22,26.145.26.123,01:00:5e:00:00:fb,224.0.0.251,272
2025-10-22 22:59:32,02:50:1e:43:6c:22,,33:33:00:00:00:fb,,292
2025-10-22 22:59:32,02:50:1e:43:6c:22,26.145.26.123,01:00:5e:00:00:fb,224.0.0.251,91
2025-10-22 22:59:32,02:50:1e:43:6c:22,,33:33:00:00:00:fb,,111
2025-10-22 22:59:32,02:50:1e:43:6c:22,26.145.26.123,01:00:5e:00:00:fb,224.0.0.251,91
2025-10-22 22:59:32,02:50:1e:43:6c:22,,33:33:00:00:00:fb,,111
2025-10-22 22:59:32,02:50:1e:43:6c:22,26.145.26.123,01:00:5e:00:00:fb,224.0.0.251,91
2025-10-22 22:59:32,02:50:1e:43:6c:22,,33:33:00:00:00:fb,,111
2025-10-22 22:59:32,02:50:1e:43:6c:22,26.145.26.123,01:00:5e:00:00:fb,224.0.0.251,363
2025-10-22 22:59:32,02:50:1e:43:6c:22,26.145.26.123,01:00:5e:00:00:fb,224.0.0.251,149
2025-10-22 22:59:32,02:50:1e:43:6c:22,,33:33:00:00:00:fb,,383
2025-10-22 22:59:32,02:50:1e:43:6c:22,26.145.26.123,01:00:5e:00:00:fb,224.0.0.251,301
2025-10-22 22:59:32,02:50:1e:43:6c:22,,33:33:00:00:00:fb,,321
